name,address,link,main_category,category,is_spending_on_ads,phones,place_id,rating,review,best_review_1_nama,best_review_1_rating,best_review_1_text,best_review_1_time,best_review_2_nama,best_review_2_rating,best_review_2_text,best_review_2_time,best_review_3_nama,best_review_3_rating,best_review_3_text,best_review_3_time,best_review_4_nama,best_review_4_rating,best_review_4_text,best_review_4_time,best_review_5_nama,best_review_5_rating,best_review_5_text,best_review_5_time,best_review_6_nama,best_review_6_rating,best_review_6_text,best_review_6_time,best_review_7_nama,best_review_7_rating,best_review_7_text,best_review_7_time
Srengenge Wetan,"Srengenge Wetan, Jl. Panglima Besar Sudirman No.175, RW.2, Singonegaran, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68414",https://www.google.com/maps/place/Srengenge+Wetan/data=!4m7!3m6!1s0x2dd145245cf9f481:0xd26345461e687d89!8m2!3d-8.2074047!4d114.3732568!16s%2Fg%2F11c32fhz_g!19sChIJgfT5XCRF0S0RiX1oHkZFY9I?authuser=0&hl=id&rclk=1,Restoran,Restoran,False,08113689060,ChIJgfT5XCRF0S0RiX1oHkZFY9I,4.5,2631,Melinda Chang,5,,seminggu lalu,Tritya Mudita,4,,sebulan lalu,Surya Wijaya,5,,3 minggu lalu,eka santhika,5,,2 bulan lalu,Sena Achari,5,,3 bulan lalu,Kris Wibowo,5,,sebulan lalu,Anisa Rahma,4,,seminggu lalu,Christine Wijaya,5,,4 bulan lalu
Warung Mbok Sul - Food & Beverages Banyuwangi,"Warung Mbok Sul - Food & Beverages Banyuwangi, Jl. Brigjen Katamso No.6, Tukangkayu, Banyuwangi Sub-District, Banyuwangi Regency, East Java 68416",https://www.google.com/maps/place/Warung+Mbok+Sul+-+Food+%26+Beverages+Banyuwangi/data=!4m7!3m6!1s0x2dd15b354d8a8b2f:0x49fa546037915615!8m2!3d-8.2268406!4d114.3678619!16s%2Fg%2F11j7vy3d30!19sChIJL4uKTTVb0S0RFVaRN2BU-kk?authuser=0&hl=id&rclk=1,Restoran,Restoran,False,081222244492,ChIJL4uKTTVb0S0RFVaRN2BU-kk,4.5,1173,Asterina Evina Andini,5,,3 bulan lalu,Arya Takbir,5,,2 bulan lalu,G.M. Lucki Junursyah,5,,sebulan lalu,vina aja,4,,3 bulan lalu,Marsya TqReyna,5,,2 minggu lalu,Elyana Adinda,5,,3 bulan lalu,Riza Alvina,2,,2 bulan lalu,Alfinatun nasikha,5,,2 bulan lalu
"Ratu Osing Bakery , Restaurant dan Pusat Oleh-Oleh Banyuwangi","Ratu Osing Bakery , Restaurant dan Pusat Oleh-Oleh Banyuwangi, Jl. Jenderal Ahmad Yani No.65, Tukangkayu, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68416","https://www.google.com/maps/place/Ratu+Osing+Bakery+,+Restaurant+dan+Pusat+Oleh-Oleh+Banyuwangi/data=!4m7!3m6!1s0x2dd15bffac183e35:0xec6eaa80b1710521!8m2!3d-8.2224592!4d114.3679249!16s%2Fg%2F11swznym1n!19sChIJNT4YrP9b0S0RIQVxsYCqbuw?authuser=0&hl=id&rclk=1",Restoran,"Restoran, Produsen suvenir",False,082233317188,ChIJNT4YrP9b0S0RIQVxsYCqbuw,4.4,455,Bayu Gunawan,5,,2 minggu lalu,G.M. Lucki Junursyah,5,,sebulan lalu,Ayip Alvianto,4,,sebulan lalu,Elvira Alamudy,5,,2 minggu lalu,Mita Seavey,5,,sebulan lalu,Melinda Novi,4,,sebulan lalu,Hairul Anam Yahya,5,,4 bulan lalu,Siti Assyafa,5,,3 bulan lalu
Baron Ndut's Steaks & Burgers Banyuwangi,"Baron Ndut's Steaks & Burgers Banyuwangi, Jl. K.H. Agus Salim No.20a, Taman Baru, Kebalenan, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68417",https://www.google.com/maps/place/Baron+Ndut%27s+Steaks+%26+Burgers+Banyuwangi/data=!4m7!3m6!1s0x2dd15bb14d603839:0x2caf3a3ef92588fc!8m2!3d-8.2280195!4d114.3603969!16s%2Fg%2F11h4lfhftq!19sChIJOThgTbFb0S0R_Igl-T46ryw?authuser=0&hl=id&rclk=1,Restoran Steak,Restoran Steak,False,081331626515,ChIJOThgTbFb0S0R_Igl-T46ryw,4.7,1160,Adinda Dara,5,,sebulan lalu,cacing ganas,5,,4 bulan lalu,Mega Kusuma Dewi,5,,7 bulan lalu,Che,5,,3 bulan lalu,rita yuniarti,5,,sebulan lalu,Retno Andari Safitri,5,,4 bulan lalu,"Wahyu Dwi Kurniawan, ST",4,,seminggu lalu,Fahmi Ahmad,5,,3 bulan lalu
Seafood Sobo,"Seafood Sobo, Jl. Trunojoyo, Kebalenan, Kec. Banyuwangi, Kabupaten Banyuwangi, Jawa Timur 68417",https://www.google.com/maps/place/Seafood+Sobo/data=!4m7!3m6!1s0x2dd15ac5932c4709:0xec42fbe4801c31c7!8m2!3d-8.2294103!4d114.3590792!16s%2Fg%2F11clvsbj1t!19sChIJCUcsk8Va0S0RxzEcgOT7Quw?authuser=0&hl=id&rclk=1,Restoran,"Restoran, Restoran Asia, Restoran Indonesia, Restoran Seafood",False,082231002723,ChIJCUcsk8Va0S0RxzEcgOT7Quw,4.2,637,amelia dwinanda,5,,sebulan lalu,Ahmad Jazilil Mustopa,5,,seminggu lalu,Khoirotun Nazilah,3,,sebulan lalu,Priyambudi R.S.,5,,4 tahun lalu,Risky Indah Cyan,3,,setahun lalu,Citraindah Santi,5,,4 bulan lalu,Rosadi Sampurno,3,,4 bulan lalu,Kresna duta,4,,3 tahun lalu
