name,address,link,main_category,category,is_spending_on_ads,phones,place_id,rating,review,best_review_1_nama,best_review_1_rating,best_review_1_text,best_review_1_time,best_review_2_nama,best_review_2_rating,best_review_2_text,best_review_2_time,best_review_3_nama,best_review_3_rating,best_review_3_text,best_review_3_time,best_review_4_nama,best_review_4_rating,best_review_4_text,best_review_4_time,best_review_5_nama,best_review_5_rating,best_review_5_text,best_review_5_time,best_review_6_nama,best_review_6_rating,best_review_6_text,best_review_6_time,best_review_7_nama,best_review_7_rating,best_review_7_text,best_review_7_time
Rumah Makan Lestari Jember,"Rumah Makan Lestari Jember, Jl. R.A. Kartini No.14 - 16, Kp. Using, Jemberlor, Kec. Patrang, Kabupaten Jember, Jawa Timur 68131",https://www.google.com/maps/place/Rumah+Makan+Lestari+Jember/data=!4m7!3m6!1s0x2dd6943a560819f7:0xfbeaf1bff444601f!8m2!3d-8.1702413!4d113.7008826!16s%2Fg%2F1ptyjvtbr!19sChIJ9xkIVjqU1i0RH2BE9L_x6vs?authuser=0&hl=id&rclk=1,Rumah Makan,"Rumah Makan, Kedai Sup",False,0331489162,ChIJ9xkIVjqU1i0RH2BE9L_x6vs,4.4,2334,Ira Logo,4,,6 bulan lalu,Yupi Larosa,5,,sebulan lalu,Shofa Nahdliya,2,,7 bulan lalu,agoes p,4,,sebulan lalu,herman hidayat,4,,sebulan lalu,Heri Sugianto,4,,setahun lalu,sumarlan,5,,5 bulan lalu,Putro Aji,4,,2 tahun lalu
Legian Restaurant,"Legian Restaurant, Jl. Gajah Mada No.78, Kb. Kidul, Jember Kidul, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131",https://www.google.com/maps/place/Legian+Restaurant/data=!4m7!3m6!1s0x2dd694019c49b737:0x5c939072d3988405!8m2!3d-8.1727712!4d113.6903781!16s%2Fg%2F1hm2pgnrs!19sChIJN7dJnAGU1i0RBYSY03KQk1w?authuser=0&hl=id&rclk=1,Restoran Seafood,"Restoran Seafood, Restoran Bali, Restoran China",False,0331484441,ChIJN7dJnAGU1i0RBYSY03KQk1w,4.3,1622,Adhi C Kusuma,5,,3 minggu lalu,Nur Azizah,4,,2 bulan lalu,Maria Tuti,5,,3 bulan lalu,Must Itjand,5,,3 minggu lalu,Robit AZ,5,,6 bulan lalu,Ellyzabeth Dewi,5,,2 bulan lalu,Hau Siu,5,,sebulan lalu,Bayu D. Anggarisman,4,,3 minggu lalu
Restoran Taman Mangli Indah,"Restoran Taman Mangli Indah, Jl. Hayam Wuruk No.183, Karang Miuwo, Mangli, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68136",https://www.google.com/maps/place/Restoran+Taman+Mangli+Indah/data=!4m7!3m6!1s0x2dd6940009de2d03:0x19f0b7ec95316310!8m2!3d-8.1899168!4d113.6540873!16s%2Fg%2F1hm3swsht!19sChIJAy3eCQCU1i0REGMxley38Bk?authuser=0&hl=id&rclk=1,Restoran Keluarga,"Restoran Keluarga, Restoran China, Restoran Indonesia, Restoran Seafood",False,081336284488,ChIJAy3eCQCU1i0REGMxley38Bk,4.4,1811,Dian Mustikasari,5,,3 bulan lalu,Yunita Fera Rahmawati,5,,3 bulan lalu,Nadya Karina,5,,4 bulan lalu,Yodi Setiawan,4,,3 hari lalu,Pepen Wicaksono,4,,4 bulan lalu,_AichA_,5,,2 bulan lalu,Adhi C Kusuma,5,,3 minggu lalu,Arina Rizkiana,4,,6 bulan lalu
Depot Jawa Timur,"Depot Jawa Timur, u bb, Jl. Gatot Subroto No.8, Kampungtengah, Kepatihan, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131",https://www.google.com/maps/place/Depot+Jawa+Timur/data=!4m7!3m6!1s0x2dd6943b4d5ccf17:0x4edd8ff582cbadff!8m2!3d-8.1729195!4d113.7030888!16s%2Fg%2F11r9py7gd!19sChIJF89cTTuU1i0R_63LgvWP3U4?authuser=0&hl=id&rclk=1,Restoran Jawa,"Restoran Jawa, Rumah Makan",False,0331483873,ChIJF89cTTuU1i0R_63LgvWP3U4,4.3,1695,RHaps,4,,4 bulan lalu,Ira Logo,4,,6 bulan lalu,Bajaj,2,,seminggu lalu,Wong K,5,,sebulan lalu,Agusbudi Purnomo,5,,4 bulan lalu,Ato Riyanto,4,,3 tahun lalu,Bakmie Jawa Pak Budi,1,,sebulan lalu,Gadis Innosenti,4,,4 tahun lalu
RESTO IKAN GORENG CIANJUR JEMBER,"RESTO IKAN GORENG CIANJUR JEMBER, PERUMAHAN. ARGOPURO BOULEVARD AB 25-31, Kaliwates, Kec. Kaliwates, Kabupaten Jember, Jawa Timur 68131",https://www.google.com/maps/place/RESTO+IKAN+GORENG+CIANJUR+JEMBER/data=!4m7!3m6!1s0x2dd694014829e10d:0xf1a64dc451f2cbc6!8m2!3d-8.1763565!4d113.6710715!16s%2Fg%2F11bwh5vyd0!19sChIJDeEpSAGU1i0RxsvyUcRNpvE?authuser=0&hl=id&rclk=1,Restoran Ikan Bakar,"Restoran Ikan Bakar, Restoran Prasmanan, Restoran ikan, Restoran Indonesia",False,03314430999,ChIJDeEpSAGU1i0RxsvyUcRNpvE,4.3,1277,Vinno Otniel,2,,3 minggu lalu,Fire _ Dragon,4,,seminggu lalu,Ade Denis,5,,3 bulan lalu,Tri Junaedi Sabri,5,,3 bulan lalu,Ha Deh,3,,5 bulan lalu,Inggita harjo,3,,sebulan lalu,Ikwan Setiawan,4,,4 bulan lalu,tri budi Wahyuni,5,,11 bulan lalu
